관서명,살인발생,살인검거,강도발생,강도검거,강간발생,강간검거,절도발생,절도검거,폭력발생,폭력검거
중부서,1,1,4,4,127,76,1198,574,1135,944
종로서,2,2,5,4,152,122,816,369,1248,1058
남대문서,1,0,2,1,68,39,1004,476,786,688
서대문서,2,1,5,5,175,154,1226,600,1533,1258
혜화서,2,1,2,2,86,55,699,364,832,732
용산서,3,3,3,4,272,237,999,544,2035,1821
성북서,2,2,0,0,117,75,442,259,737,674
동대문서,6,6,10,9,168,143,1531,827,1975,1831
마포서,2,2,2,2,495,417,2190,917,2153,1832
영등포서,10,10,3,3,356,239,2409,1068,3039,2465
성동서,6,5,9,10,133,96,970,511,1392,1214
동작서,4,2,1,1,251,110,1328,579,1816,1503
광진서,4,5,6,5,273,213,1875,1008,1852,1584
서부서,1,1,0,0,62,56,624,422,843,747
강북서,6,6,3,2,176,145,1229,664,2422,2204
금천서,6,6,10,6,153,126,1157,615,1776,1588
중랑서,10,10,4,5,138,108,1666,908,2447,2104
강남서,3,2,3,3,496,411,2003,878,2182,1877
관악서,13,10,10,11,408,335,2223,1085,2667,2363
강서서,8,9,3,4,306,257,2050,1077,2555,2192
강동서,6,5,15,14,180,155,1650,907,2161,1873
종암서,1,1,3,3,59,55,640,472,873,779
구로서,10,9,3,4,226,165,1916,965,2549,2145
서초서,4,4,7,5,563,376,1867,904,2141,1763
양천서,6,6,2,2,127,112,1477,634,1602,1369
송파서,7,8,10,10,273,230,2416,1016,2989,2535
노원서,4,4,3,3,184,158,1498,681,2461,2116
방배서,1,1,0,0,53,36,403,214,495,441
은평서,2,2,1,1,132,106,941,555,1271,1109
도봉서,1,1,5,5,90,83,790,394,1224,1014
수서서,2,1,2,3,170,151,967,461,1470,1276
